8,NV,-1.95,100
12,WI,-1.6,35.1
6,NC,-1.2,26
11,UT,-7.4,22.9
4,GA,3,10.6
9,OH,3,9
1,AZ,6.8,8.7
3,FL,-4,7.8
7,NH,10.5,6.8
10,PA,5,5.4
2,CO,9.6,5.2
5,MO,-11,2.6
