77,86,6.8,91,79,AZ
87,92,9.6,94,88,CO
16,25,-4,36,17,FL
69,70,3,80,57,GA
3,6,-11,9,4,MO
36,42,-1.2,56,29,NC
96,93,10.5,95,90,NH
29,37,-1.95,50,25,NV
72,70,3,80,57,OH
72,80,5,87,70,PA
22,12,-7.4,19,8,UT
32,39,-1.6,53,27,WI
