code,name,num,prior,dem,rep
AZ,Arizona,1,5,Kelly,Masters
CO,Colorado,2,5,Bennet,O'Dea
FL,Florida,3,-5,Demings,Rubio
GA,Georgia,4,5,Warnock,Walker
MO,Missouri,5,-5,Busch Valentine,Schmitt
NC,North Carolina,6,-5,Beasley,Budd
NH,New Hampshire,7,5,Hassan,Bolduc
NV,Nevada,8,5,Cortez Masto,Laxalt
OH,Ohio,9,-5,Ryan,Vance
PA,Pennsylvania,10,-5,Fetterman,Oz
UT,Utah,11,-10,McMullin,Lee
WI,Wisconsin,12,-5,Barnes,Johnson

