state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,dem_cand_link,rep_cand_link,third_cand_link
NC,NC-HD-105,D,Likely,Amy Bynum,Wesley Harris,Open,,,6.641423429181264,D,37105,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_105,http://harrisfornc.com,https://www.voteamybynum.com/,
NC,NC-HD-104,D,Likely,Don Pomeroy,Brandon Lofton,D,,,6.429669647217719,D,37104,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_104,https://www.loftonfornc.com/,https://www.donpomeroy.com/,
NC,NC-HD-47,D,Likely,Olivia Oxendine,Charles Graham,D,,,6.341157531066669,D,37047,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_47,https://ballotpedia.org/Charles_Graham_(North_Carolina),https://ballotpedia.org/Olivia_Oxendine,
NC,NC-HD-21,D,Likely,Brent Heath,Raymond Smith Jr.,D,,,6.124881672324288,D,37021,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_21,https://www.smithnchor.org,https://ballotpedia.org/Brent_Heath,
NC,NC-HD-36,D,Likely,Kim Coley,Julie von Haefen,D,Bruce Basson,L,5.7525157820479595,D,37036,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_36,https://www.juliefornc.com,https://trustkimcoley.com/,https://ballotpedia.org/Bruce_Basson
NC,NC-HD-103,D,Likely,William Brawley,Rachel Hunt,D,,,5.732769380113716,D,37103,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_103,https://www.huntforhousenc.com,https://ballotpedia.org/William_Brawley,
NC,NC-SD-11,R,Lean,Lisa Barnes,Allen Wellons,Open,,,3.295840292307044,R,37011,SD,https://ballotpedia.org/North_Carolina_State_Senate_District_11,https://ballotpedia.org/Allen_Wellons,https://www.lisastonebarnes.com/,
NC,NC-SD-19,FALSE,Toss-Up,Wesley Meredith,Kirk deViere,D,,,3.293916902317112,D,37019,SD,https://ballotpedia.org/North_Carolina_State_Senate_District_19,https://www.kirkdeviere.com,https://ballotpedia.org/Wesley_Meredith,
NC,NC-SD-31,R,Lean,Joyce Krawiec,Terri LeGrand,R,,,3.095964498682569,R,37031,SD,https://ballotpedia.org/North_Carolina_State_Senate_District_31,https://www.terrilegrand.org/,https://joyceforsenate.com,
NC,NC-SD-17,D,Lean,Mark Cavaliero,Sam Searcy,D,Travis Groo,L,3.0124387258596466,D,37017,SD,https://ballotpedia.org/North_Carolina_State_Senate_District_17,https://www.samsearcy.com,https://cav4nc.com/,https://ballotpedia.org/Travis_Groo
NC,NC-SD-27,D,Lean,Sebastian King,Michael Garrett,D,,,2.7436283938186223,D,37027,SD,https://ballotpedia.org/North_Carolina_State_Senate_District_27,https://garrettfornc.com,https://www.sebastiankingnc.com/,
NC,NC-SD-18,D,Lean,Larry Norman,Sarah Crawford,Open,Jason Loeback,L,2.606157259742061,D,37018,SD,https://ballotpedia.org/North_Carolina_State_Senate_District_18,https://www.sarahfornc.com/,http://www.normanforncsenate.com/,https://ballotpedia.org/Jason_Loeback
NC,NC-SD-9,FALSE,Toss-Up,Michael Lee,Harper Peterson,D,,,2.3610968749434744,D,37009,SD,https://ballotpedia.org/North_Carolina_State_Senate_District_9,https://www.harperpetersonsenate9.com,https://www.leefornc.com/,
NC,NC-HD-68,R,Safe,David Willis,Ericka McKnight,Open,,,1.9700578222884124,D,37068,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_68,https://ballotpedia.org/Ericka_McKnight_(North_Carolina_state_legislative_candidate),https://www.votedavidwillis.com/,
NC,NC-HD-22,R,Safe,William Brisson,Albert Kirby Jr.,R,,,1.921599247526424,D,37022,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_22,https://ballotpedia.org/Albert_Kirby_Jr.,https://ballotpedia.org/William_Brisson,
NC,NC-HD-96,R,Safe,Jay Adams,Kimberly Bost,R,,,1.90849125430351,D,37096,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_96,https://www.kimbostfornchouse.com/,https://jayadamsnchouse.com,
NC,NC-HD-70,R,Safe,Patricia Hurley,Susan Scott,R,,,1.9011654899217985,D,37070,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_70,https://ballotpedia.org/Susan_Scott_(North_Carolina),https://ballotpedia.org/Patricia_Hurley,
NC,NC-HD-4,R,Safe,James Dixon,Christopher Schulte,R,,,1.892290160563873,D,37004,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_4,https://ballotpedia.org/Christopher_Schulte,https://ballotpedia.org/James_Dixon_(North_Carolina),
NC,NC-HD-69,R,Safe,Dean Arp,Pam De Maria,R,,,1.8838610094481263,D,37069,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_69,https://ballotpedia.org/Pam_De_Maria,https://ballotpedia.org/Dean_Arp,
NC,NC-HD-109,R,Safe,Dana Bumgardner,Susan Maxon,R,,,1.8461951245982888,D,37109,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_109,https://susanmaxon.org/,https://ballotpedia.org/Dana_Bumgardner,
NC,NC-HD-78,R,Safe,Allen McNeill,,R,,,1.84460335357214,D,37078,HD,https://ballotpedia.org/North_Carolina_House_of_Representatives_District_78,,https://ballotpedia.org/Allen_McNeill,
