state,district,favored,confidence,rep_nominee,dem_nominee,incumbent,third_party_cand,third_party,redistricting_voter_power,anti_gerrymandering_party,geoid,chamber,district_link,dem_cand_link,rep_cand_link,third_cand_link
KS,KS-HD-9,R,Safe,Kent Thompson,Alana Cloutier,Open,,,1.0410544277161102,D,20009,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_9,http://alana4ks.com/,https://ballotpedia.org/Kent_Thompson,
KS,KS-HD-59,R,Safe,Blaine Finch,Caren Rugg,Open,,,1.015990063489958,D,20059,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_59,https://www.rugg2020.com/,https://www.finchforkansas.com,
KS,KS-HD-99,R,Safe,Susan Humphries,Phil Hodson,R,,,0.9993247032010276,D,20099,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_99,https://www.philhodson.com/,https://susanhumphries.net,
KS,KS-SD-7,D,Likely,Laura McConwell,Ethan Corson,Open,,,0.9928912953036728,D,20007,SD,https://ballotpedia.org/Kansas_State_Senate_District_7,https://www.ethanforkansas.com,https://lauramcconwell.com,
KS,KS-HD-64,R,Safe,Susan Carlson,Jim Vathauer,R,,,0.9872537729193926,D,20064,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_64,http://jimforks64.com/,https://www.susancarlsonforhouse.com/,
KS,KS-HD-60,R,Safe,Mark Schreiber,Todd Maddox,R,,,0.961688965529716,D,20060,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_60,https://www.maddoxforkansas.com/,https://www.schreiberforkansas.com/,
KS,KS-HD-68,R,Safe,Dave Baker,Scott Dawson,R,,,0.947676556951035,D,20068,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_68,https://ballotpedia.org/Scott_Dawson_(Kansas),https://ballotpedia.org/Dave_Baker_(Kansas),
KS,KS-HD-75,R,Safe,Will Carpenter,Ethan Caylor,R,,,0.9419003575455376,D,20075,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_75,https://ballotpedia.org/Ethan_Caylor,http://willforkansas.com/,
KS,KS-HD-43,R,Safe,Bill Sutton,Pamela Finley,R,,,0.9246320536860954,D,20043,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_43,http://pamfinley.org/,http://www.billsutton.us,
KS,KS-HD-71,R,Safe,Steven Howe,Jeffrey Zamrzla,Open,,,0.919446738979699,D,20071,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_71,https://ballotpedia.org/Jeffrey_Zamrzla,https://www.stevenkhowe.com/,
KS,KS-HD-94,R,Safe,Leo Delperdang,Derek Milligan,R,,,0.9124224463832432,D,20094,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_94,https://milliganforkansas.com/,https://www.delperdangforkansas.com/,
KS,KS-HD-104,R,Safe,Paul Waggoner,Garth Strand,R,,,0.909739347494468,D,20104,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_104,https://gowithgarth.com/,https://www.waggonerforkansas.org/,
KS,KS-SD-9,R,Likely,Julia Lynn,Stacey Knoell,R,,,0.906302569142554,D,20009,SD,https://ballotpedia.org/Kansas_State_Senate_District_9,https://staceyknoell.com,http://www.senatorjulialynn.com,
KS,KS-HD-105,R,Safe,Brenda Landwehr,Michelle Snyder,R,,,0.8489746944583457,D,20105,HD,https://ballotpedia.org/Kansas_House_of_Representatives_District_105,https://www.snyderforkansas.com/,https://brendalandwehr.com/,
KS,KS-SD-1,R,Safe,Dennis Pyle,Kirk Miller,R,,,0.702447347952705,D,20001,SD,https://ballotpedia.org/Kansas_State_Senate_District_1,https://ballotpedia.org/Kirk_Miller,https://ballotpedia.org/Dennis_Pyle,
KS,KS-SD-25,D,Safe,Vail Fruechting,Mary Ware,D,,,0.6079359432750688,D,20025,SD,https://ballotpedia.org/Kansas_State_Senate_District_25,https://www.wareforkansas.com/,https://ballotpedia.org/Vail_Fruechting,
KS,KS-SD-13,R,Safe,Richard Hilderbrand,Nancy Ingle,R,,,0.5711991944673899,D,20013,SD,https://ballotpedia.org/Kansas_State_Senate_District_13,http://nancyingleforstatesenate.com/,http://www.richardhilderbrand.com,
KS,KS-SD-17,R,Safe,Jeff Longbine,Stephen Vecchione,R,,,0.5686360813491466,D,20017,SD,https://ballotpedia.org/Kansas_State_Senate_District_17,https://ballotpedia.org/Stephen_Vecchione,http://www.jefflongbine.com/,
KS,KS-SD-11,R,Safe,Kellie Warren,Joy Koesten,Open,,,0.4930046486949287,D,20011,SD,https://ballotpedia.org/Kansas_State_Senate_District_11,https://www.joykoesten.com,https://kelliewarrenforsenate.com,
KS,KS-SD-19,D,Safe,Rick Kloos,Anthony Hensley,D,,,0.3812659403206454,D,20019,SD,https://ballotpedia.org/Kansas_State_Senate_District_19,https://ballotpedia.org/Anthony_Hensley,https://ballotpedia.org/Rick_Kloos,
KS,KS-SD-38,R,Safe,Bud Estes,Edgar Pando,R,,,0.2211379956949829,D,20038,SD,https://ballotpedia.org/Kansas_State_Senate_District_38,https://ballotpedia.org/Edgar_Pando,https://ballotpedia.org/Bud_Estes,
KS,KS-SD-16,R,Safe,Ty Masterson,Timothy Fry II,R,,,0.1986711123705933,D,20016,SD,https://ballotpedia.org/Kansas_State_Senate_District_16,https://ballotpedia.org/Timothy_Fry_II,https://ballotpedia.org/Ty_Masterson,
KS,KS-SD-12,R,Safe,Caryn Tyson,Mike Bruner,R,,,0.1726547002466039,D,20012,SD,https://ballotpedia.org/Kansas_State_Senate_District_12,https://ballotpedia.org/Mike_Bruner,https://ballotpedia.org/Caryn_Tyson,
KS,KS-SD-4,D,Safe,Sam Stillwell,David Haley,D,,,0.1611728458333585,D,20004,SD,https://ballotpedia.org/Kansas_State_Senate_District_4,https://ballotpedia.org/David_Haley,https://ballotpedia.org/Sam_Stillwell,
KS,KS-SD-6,D,Safe,Diana Whittington,Pat Pettey,D,,,0.1601267387385215,D,20006,SD,https://ballotpedia.org/Kansas_State_Senate_District_6,https://ballotpedia.org/Pat_Pettey,https://ballotpedia.org/Diana_Whittington,
KS,KS-SD-29,D,Safe,Myron Ackerman,Oletha Faust-Goudeau,D,,,0.1576992879236432,D,20029,SD,https://ballotpedia.org/Kansas_State_Senate_District_29,https://ballotpedia.org/Oletha_Faust-Goudeau,https://ballotpedia.org/Myron_Ackerman,
KS,KS-SD-40,R,Safe,Rick Billinger,Larry Dreiling,R,,,0.1572953157314007,D,20040,SD,https://ballotpedia.org/Kansas_State_Senate_District_40,https://ballotpedia.org/Larry_Dreiling,https://ballotpedia.org/Rick_Billinger,
KS,KS-SD-34,R,Safe,Mark Steffen,Shanna Henry,Open,,,0.1520334271915492,D,20034,SD,https://ballotpedia.org/Kansas_State_Senate_District_34,https://ballotpedia.org/Shanna_Henry,https://ballotpedia.org/Mark_Steffen_(Kansas),
KS,KS-SD-37,R,Safe,Molly Baumgardner,Becca Peck,R,,,0.1432262304570915,D,20037,SD,https://ballotpedia.org/Kansas_State_Senate_District_37,https://ballotpedia.org/Becca_Peck,https://ballotpedia.org/Molly_Baumgardner,
KS,KS-SD-27,R,Safe,Gene Suellentrop,Mike McCorkle,R,,,0.1337955900707253,D,20027,SD,https://ballotpedia.org/Kansas_State_Senate_District_27,https://ballotpedia.org/Mike_McCorkle,https://ballotpedia.org/Gene_Suellentrop,
